RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           12     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  223  473     1     3  con    0  1.0D+00  7.0D-04  3.500D-02  2.061D+00
  224  474     1     3  con    0  1.0D+00  2.3D-04  6.468D-03  2.061D+00
  225  477     1     3  con    2  9.7D-02  1.8D-05  7.194D-03  2.061D+00
  226  479     1     3  con    1  4.9D-01  1.9D-05  1.973D-02  2.061D+00
  227  480     1     3  con    0  1.0D+00  1.4D-05  1.383D-02  2.061D+00
  228  481     1     3  con    0  1.0D+00  2.3D-05  2.867D-03  2.061D+00
  229  482     1     3  con    0  1.0D+00  1.1D-05  4.960D-03  2.061D+00
  230  483     1     3  con    0  1.0D+00  6.8D-05  2.364D-02  2.061D+00
  231  484     1     3  con    0  1.0D+00  2.3D-04  5.544D-02  2.061D+00
  232  486     1     3  con    1  5.0D+00  7.0D-04  3.211D-02  2.061D+00
  233  487     1     3  con    0  1.0D+00  1.2D-04  9.401D-03  2.061D+00
  234  491     1     3  con    3  1.9D+00  8.9D-05  5.924D-03  2.061D+00
  235  492     1     3  con    0  1.0D+00  3.4D-05  1.155D-02  2.061D+00
  236  494     1     3  con    1  1.0D-01  7.3D-05  1.788D-02  2.061D+00
  237  495     1     3  con    0  1.0D+00  4.1D-05  4.304D-03  2.061D+00
  238  497     1     3  con    1  2.3D-01  6.5D-05  9.089D-03  2.061D+00
  239  499     1     3  con    1  5.0D-01  7.7D-05  1.582D-02  2.061D+00
  240  501     1     3  con    1  5.0D+00  1.5D-04  1.327D-02  2.061D+00
  241  503     1     3  con    1  5.0D+00  2.3D-04  7.242D-03  2.061D+00
  242  507     1     3  con    3  2.1D-02  1.2D-05  7.528D-03  2.061D+00
  243  508     1     3  con    0  1.0D+00  5.3D-05  4.932D-03  2.061D+00
  244  510     1     3  con    1  2.0D-01  7.3D-05  1.424D-02  2.061D+00
  245  512     1     3  con    1  3.7D-01  2.5D-05  1.169D-02  2.061D+00
  246  514     1     3  con    1  5.0D+00  9.0D-05  3.273D-02  2.061D+00
  247  515     1     3  con    0  1.0D+00  2.1D-05  1.789D-02  2.061D+00
  248  517     1     3  con    1  3.1D-01  1.2D-05  7.350D-03  2.061D+00
  249  519     1     3  con    1  2.1D-01  1.5D-05  5.624D-03  2.061D+00
  250  520     1     3  con    0  1.0D+00  5.0D-06  2.019D-03  2.061D+00
  251  522     1     3  con    1  2.9D-01  9.4D-06  4.286D-03  2.061D+00
  252  524     1     3  con    1  2.1D-01  5.6D-06  6.184D-03  2.061D+00
  253  526     1     3  con    1  5.0D+00  1.2D-05  1.136D-02  2.061D+00
  254  527     1     3  con    0  1.0D+00  3.3D-06  7.341D-03  2.061D+00
  255  528     1     3  con    0  1.0D+00  1.3D-05  8.985D-03  2.061D+00
  256  529     1     3  con    0  1.0D+00  4.0D-06  2.821D-03  2.061D+00
  257  531     1     3  con    1  9.0D-03  7.9D-06  9.625D-03  2.061D+00
  258  532     1     3  con    0  1.0D+00  3.5D-06  6.744D-03  2.061D+00
  259  534     1     3  con    1  3.6D-01  1.5D-05  2.163D-03  2.061D+00
  260  535     1     3  con    0  1.0D+00  5.2D-06  3.121D-03  2.061D+00
  261  536     1     3  con    0  1.0D+00  5.5D-06  4.691D-03  2.061D+00
  262  537     1     3  con    0  1.0D+00  8.3D-06  3.832D-03  2.061D+00
  263  538     1     3  con    0  1.0D+00  4.1D-06  2.888D-03  2.061D+00
  264  540     1     3  con    1  1.3D-01  2.6D-05  8.794D-03  2.061D+00
  265  541     1     3  con    0  1.0D+00  8.5D-06  2.961D-03  2.061D+00
  266  543     1     3  con    1  3.4D-01  4.9D-06  4.528D-03  2.061D+00
  267  545     1     3  con    1  2.9D-01  6.9D-06  7.404D-03  2.061D+00
  268  547     1     3  con    1  4.8D-01  1.1D-05  9.751D-03  2.061D+00
  269  548     1     3  con    0  1.0D+00  5.0D-06  8.638D-03  2.061D+00
  270  550     1     3  con    1  1.4D-01  2.2D-05  3.845D-03  2.061D+00
  271  551     1     3  con    0  1.0D+00  6.2D-06  3.158D-03  2.061D+00
  272  554     1     3  con    2  8.8D-01  3.6D-05  1.628D-03  2.061D+00
  273  555     1     3  con    0  1.0D+00  2.8D-06  1.366D-03  2.061D+00
  274  557     1     3  con    1  4.2D-01  5.0D-05  1.026D-02  2.061D+00
  275  558     1     3  con    0  1.0D+00  4.0D-05  9.640D-03  2.061D+00
  276  559     1     3  con    0  1.0D+00  1.9D-05  6.676D-03  2.061D+00
  277  560     1     3  con    0  1.0D+00  2.5D-05  5.734D-03  2.061D+00
  278  565     1     3  con    4  2.8D+00  3.3D-05  1.190D-02  2.061D+00
  279  566     1     3  con    0  1.0D+00  1.2D-04  2.696D-02  2.061D+00
  280  567     1     3  con    0  1.0D+00  1.6D-04  3.020D-02  2.061D+00
  281  568     1     3  con    0  1.0D+00  5.0D-05  1.120D-02  2.061D+00
  282  569     1     3  con    0  1.0D+00  6.9D-05  1.211D-02  2.061D+00
  283  571     1     3  con    1  3.7D-01  8.4D-05  2.553D-02  2.061D+00
  284  572     1     3  con    0  1.0D+00  5.6D-05  1.236D-02  2.061D+00
  285  574     1     3  con    1  3.0D-01  3.0D-05  8.647D-03  2.061D+00
  286  575     1     3  con    0  1.0D+00  1.5D-05  2.288D-03  2.061D+00
  287  577     1     3  con    1  3.7D-01  2.1D-05  2.655D-03  2.061D+00
  288  580     1     3  con    2  9.4D-02  4.7D-06  5.305D-03  2.061D+00
  289  581     1     3  con    0  1.0D+00  6.8D-06  3.121D-03  2.061D+00
  290  582     1     3  con    0  1.0D+00  5.7D-05  1.710D-02  2.061D+00
  291  583     1     3  con    0  1.0D+00  5.5D-06  1.009D-02  2.061D+00
  292  585     1     3  con    1  3.5D-01  1.7D-05  1.363D-03  2.061D+00
  293  586     1     3  con    0  1.0D+00  1.7D-05  2.379D-03  2.061D+00
  294  588     1     3  con    1  5.0D+00  5.4D-05  1.186D-02  2.061D+00
  295  594     1     3  con    5  1.0D+00  5.2D-05  1.320D-02  2.061D+00
  296  616     1     3  ---    1  1.2D-04  1.6D-06  1.710D-03  2.061D+00
  297  617     1     3  con    0  1.0D+00  3.0D-07  2.026D-03  2.061D+00
  298  618     1     3  con    0  1.0D+00  5.4D-07  1.730D-03  2.061D+00
  299  619     1     3  con    0  1.0D+00  4.1D-06  1.110D-03  2.061D+00
  300  621     1     3  con    1  5.0D+00  1.5D-05  3.131D-03  2.061D+00
  301  625     1     3  con    3  2.7D-01  8.9D-06  2.226D-03  2.061D+00
  302  626     1     3  con    0  1.0D+00  2.9D-06  2.537D-03  2.061D+00
  303  630     1     3  con    3  1.7D-02  5.9D-08  3.247D-03  2.061D+00
  304  631     1     3  con    0  1.0D+00  7.6D-07  2.044D-03  2.061D+00
  305  632     1     3  con    0  1.0D+00  8.7D-07  1.442D-03  2.061D+00
  306  633     1     3  con    0  1.0D+00  9.8D-07  1.895D-03  2.061D+00
  307  635     1     3  con    1  3.0D-01  1.7D-06  5.890D-03  2.061D+00
  308  637     1     3  con    1  2.8D-01  2.5D-06  8.610D-03  2.061D+00
  309  638     1     3  con    0  1.0D+00  1.6D-06  6.423D-03  2.061D+00
  310  639     1     3  con    0  1.0D+00  3.6D-06  1.668D-03  2.061D+00
  311  640     1     3  con    0  1.0D+00  6.7D-06  2.976D-03  2.061D+00
  312  644     1     3  con    3  1.8D+00  1.5D-05  3.569D-03  2.061D+00
  313  645     1     3  con    0  1.0D+00  1.4D-05  2.117D-03  2.061D+00
  314  653     1     3  con    7  4.6D-03  9.8D-08  2.304D-03  2.061D+00
  315  654     1     3  con    0  1.0D+00  1.5D-06  3.394D-03  2.061D+00
  316  656     1     3  con    1  5.0D+00  3.0D-05  1.441D-02  2.061D+00
